depth,11.427433,11.228118,11.028802,10.829485,10.630171,10.430854,10.231538,10.032222,9.832907,9.633592,9.434276,9.23496,9.035644,8.836328,8.637013,8.437698,8.238382,8.039066,7.83975,7.640435,7.441119,7.241803,7.042488,6.843172,6.643856,6.444541,6.245225,6.045909,5.846593,5.647278,5.447962,5.248646,5.049331,4.850015,4.650699,4.451384,4.252068,4.052752,3.853437,3.654121,3.454805,3.25549,3.056174,2.856858,2.657542,2.458227,2.258911,2.059595,1.86028,1.660964,1.461648,1.262333,1.063017,0.863701,0.664386,0.46507,0.265754,0.066439,-0.132877,-0.332193,-0.531508,-0.730824,-0.93014,-1.129456
154,0.006657,0.235351,0.383666,0.512503,0.617905,0.688482,0.733364,0.757136,0.772979,0.79361,0.830433,0.88674,0.957579,1.029912,1.091801,1.137342,1.167367,1.186827,1.203251,1.225005,1.258509,1.308809,1.376583,1.463718,1.567666,1.691953,1.834329,2.00272,2.198586,2.434128,2.711802,3.040421,3.413055,3.821263,4.238024,4.629944,4.953784,5.164348,5.223453,5.105178,4.801574,4.335027,3.737803,3.080427,2.412183,1.809495,1.295847,0.904813,0.620358,0.431577,0.309399,0.227836,0.175118,0.103405,0.058123,0.027592,0.013238,0,0,0,0,0,0,0
158,0.005848,0.211455,0.361734,0.493731,0.604592,0.684321,0.741705,0.781162,0.815727,0.857183,0.916658,0.996493,1.091315,1.186765,1.269075,1.329454,1.365635,1.380059,1.378902,1.37031,1.362641,1.363093,1.377141,1.409501,1.462567,1.540422,1.642065,1.771218,1.925054,2.107864,2.316574,2.554629,2.816779,3.100094,3.391517,3.675318,3.92879,4.125463,4.239894,4.248636,4.137074,3.906072,3.566606,3.156788,2.70854,2.277809,1.88903,1.577118,1.33922,1.174332,1.061495,0.980116,0.904968,0.817782,0.706093,0.56806,0.41323,0.250769,0.11906,0.096742,0.070106,0.047218,0.024899,0.005488
162,0.006166,0.224749,0.391124,0.53905,0.665736,0.760242,0.831636,0.883718,0.929729,0.981126,1.049136,1.1358,1.235519,1.333494,1.415638,1.473036,1.503547,1.509855,1.498567,1.478139,1.457552,1.444331,1.444991,1.465011,1.508368,1.580034,1.679832,1.81112,1.969569,2.156776,2.365607,2.594666,2.834011,3.076824,3.309172,3.517579,3.686023,3.798649,3.842509,3.807731,3.689489,3.493231,3.227918,2.919977,2.588116,2.267627,1.970232,1.71702,1.501593,1.322688,1.165149,1.020201,0.876549,0.733463,0.592947,0.463904,0.354487,0.269305,0.206956,0.161754,0.128811,0.076034,0.04519,0.010996
166,0.006837,0.249352,0.434675,0.601001,0.745511,0.855962,0.942382,1.008318,1.067943,1.132916,1.214975,1.31564,1.428481,1.53715,1.626276,1.686125,1.714284,1.713531,1.691154,1.656642,1.620794,1.592941,1.582251,1.596478,1.641796,1.724013,1.841047,1.992148,2.165135,2.352517,2.537425,2.710002,2.85698,2.972327,3.051471,3.095366,3.107783,3.093946,3.058243,3.002774,2.925379,2.82455,2.69695,2.546981,2.375997,2.195631,2.007047,1.821127,1.635486,1.457239,1.284486,1.121524,0.96621,0.821695,0.688403,0.569801,0.467678,0.381853,0.310268,0.248387,0.191919,0.140856,0.075244,0.020693
170,0.008896,0.141212,0.289555,0.434472,0.562239,0.672333,0.762029,0.836075,0.904854,0.97826,1.066596,1.17067,1.283886,1.389492,1.471269,1.518769,1.529629,1.507397,1.460837,1.400531,1.338722,1.285056,1.249863,1.241231,1.267419,1.335834,1.447193,1.602214,1.788143,1.993769,2.194037,2.368521,2.492751,2.55206,2.539813,2.462264,2.337229,2.190649,2.049289,1.936767,1.864476,1.834744,1.838049,1.857469,1.872162,1.861257,1.808817,1.711953,1.577034,1.431048,1.305796,1.240983,1.26806,1.407615,1.663045,2.008909,2.389913,2.719188,2.895241,2.829318,2.47392,1.863918,0.997024,0.218236
174,0.0099,0.156355,0.307811,0.45482,0.58321,0.692329,0.779268,0.848838,0.911372,0.97703,1.056169,1.150013,1.252283,1.346966,1.418613,1.457646,1.462395,1.436864,1.390173,1.333159,1.278185,1.235074,1.213734,1.221991,1.266631,1.35433,1.483876,1.655197,1.853761,2.067507,2.270729,2.443862,2.565188,2.625073,2.623554,2.573627,2.497721,2.422347,2.37046,2.355825,2.378199,2.424437,2.473818,2.50163,2.488863,2.426164,2.312818,2.163724,1.992361,1.823984,1.676144,1.568196,1.507901,1.497483,1.528788,1.585183,1.642485,1.669336,1.632464,1.502366,1.264358,0.932691,0.494721,0.108004
178,0.0086,0.136557,0.280783,0.422383,0.548224,0.65778,0.748363,0.824184,0.894913,0.969398,1.056889,1.157342,1.26379,1.360018,1.431062,1.46822,1.470751,1.443325,1.395291,1.337154,1.280447,1.233642,1.205115,1.200691,1.225647,1.284101,1.374168,1.494075,1.632147,1.779124,1.917283,2.034167,2.116555,2.159558,2.16459,2.141631,2.106898,2.079334,2.075836,2.106588,2.17249,2.263231,2.363301,2.449502,2.502893,2.50617,2.451178,2.342408,2.190523,2.022609,1.864046,1.745347,1.686496,1.701138,1.78961,1.93491,2.099316,2.223384,2.238912,2.09091,1.761867,1.289195,0.677191,0.146749
182,0.01123,0.177658,0.354506,0.526925,0.678285,0.807463,0.910532,0.992346,1.06413,1.136977,1.222385,1.321955,1.429246,1.527692,1.601923,1.643495,1.652412,1.634052,1.59805,1.554893,1.515265,1.486924,1.476708,1.489879,1.530691,1.603615,1.706409,1.837636,1.984882,2.138222,2.278473,2.391527,2.462536,2.485092,2.459823,2.396618,2.313093,2.23104,2.170972,2.147903,2.166106,2.218383,2.287844,2.34684,2.36575,2.315382,2.173357,1.940417,1.628156,1.284226,0.956293,0.706457,0.574635,0.588749,0.759402,1.076113,1.492936,1.916492,2.222903,2.298847,2.079785,1.596748,0.861448,0.189264
186,0.005616,0.219514,0.438825,0.657237,0.862649,1.034945,1.179568,1.295941,1.398262,1.497486,1.606358,1.72543,1.846404,1.950072,2.020111,2.049824,2.042892,2.008678,1.960447,1.91061,1.870153,1.845596,1.841867,1.863015,1.912833,1.99688,2.113809,2.263386,2.432481,2.610348,2.77499,2.90936,2.994191,3.018697,2.979289,2.883062,2.747126,2.595068,2.450079,2.331298,2.244786,2.187835,2.145997,2.101315,2.032708,1.926754,1.772667,1.578505,1.351476,1.116816,0.891522,0.698426,0.545807,0.439416,0.375315,0.34849,0.346396,0.355735,0.368027,0.353461,0.305626,0.225997,0.112343,0.030184
190,0.011625,0.184729,0.382111,0.575157,0.745871,0.893874,1.015919,1.118616,1.216192,1.321886,1.449512,1.599586,1.762573,1.914847,2.033697,2.104497,2.124047,2.097494,2.036936,1.956406,1.871325,1.792567,1.731023,1.69289,1.684956,1.710405,1.767726,1.852651,1.952829,2.057641,2.151846,2.226095,2.273132,2.292981,2.290276,2.274466,2.257489,2.250559,2.261244,2.29058,2.332876,2.376483,2.409504,2.420799,2.404824,2.361938,2.294516,2.209001,2.103646,1.977058,1.819721,1.629711,1.406837,1.167853,0.933042,0.727348,0.56555,0.449356,0.368,0.303343,0.240036,0.168102,0.080719,0.021486
194,0.011702,0.186606,0.396377,0.603386,0.787871,0.947993,1.078305,1.183301,1.275159,1.365605,1.467328,1.581822,1.701976,1.809799,1.889337,1.932899,1.942174,1.924209,1.88987,1.850104,1.815052,1.791232,1.783574,1.795493,1.829677,1.889015,1.970602,2.071675,2.180748,2.288498,2.379788,2.444591,2.474825,2.469929,2.435748,2.384476,2.332467,2.295992,2.28659,2.306989,2.349426,2.39669,2.428526,2.424495,2.370255,2.262669,2.103407,1.910786,1.69791,1.490018,1.299732,1.140735,1.011843,0.909801,0.825337,0.753492,0.686044,0.631484,0.613058,0.57689,0.48455,0.359248,0.174465,0.046355
198,0.010719,0.170784,0.360558,0.545924,0.709228,0.849995,0.964973,1.060787,1.151427,1.250232,1.371073,1.5151,1.673638,1.824198,1.944953,2.0217,2.051197,2.038175,1.993751,1.931104,1.864338,1.803538,1.758194,1.733878,1.736158,1.767868,1.82709,1.910097,2.005648,2.104124,2.190974,2.256791,2.294389,2.304169,2.292395,2.271036,2.254853,2.256986,2.284927,2.336378,2.399569,2.454222,2.48018,2.460841,2.389469,2.274794,2.13149,1.988149,1.863693,1.775944,1.723492,1.690011,1.641865,1.543457,1.370676,1.127384,0.842547,0.560169,0.322296,0.152684,0.07348,0.027699,0.012545,0
202,0.005787,0.225212,0.446503,0.664959,0.867577,1.033625,1.168388,1.271924,1.3591,1.442606,1.536724,1.644233,1.758646,1.862265,1.939293,1.982527,1.994352,1.982536,1.958404,1.933063,1.916045,1.913473,1.928949,1.965521,2.024354,2.108221,2.212585,2.334384,2.460412,2.580272,2.676721,2.737715,2.753165,2.72075,2.645813,2.541276,2.426534,2.323204,2.249395,2.21602,2.221399,2.252458,2.287607,2.299889,2.264489,2.165934,1.997244,1.774924,1.515964,1.255382,1.013816,0.813391,0.658076,0.548981,0.478591,0.439038,0.417686,0.402589,0.386836,0.351263,0.291598,0.216505,0.10568,0.028127
206,0.01181,0.18804,0.395207,0.597031,0.774264,0.926587,1.050687,1.154162,1.252561,1.360611,1.49331,1.651361,1.824418,1.987102,2.115417,2.194815,2.22362,2.209146,2.165146,2.106296,2.046377,1.993646,1.954533,1.932139,1.930952,1.954703,2.004423,2.079917,2.174651,2.283914,2.396969,2.506081,2.599945,2.669745,2.705631,2.700738,2.652132,2.562441,2.439281,2.295293,2.140991,1.989455,1.845656,1.715782,1.595279,1.482784,1.369201,1.255125,1.138986,1.031649,0.943702,0.890228,0.879733,0.913695,0.980709,1.054361,1.098828,1.079482,0.98045,0.81143,0.603976,0.403643,0.182304,0.047451
