Type 128,0,0,0,0,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,0,0,0,0
Botryococcus,4630.43892120571,1322.98254891592,2645.96509783184,5071.43310417768,3527.95346377578,3748.45055526177,1984.47382337388,1763.97673188789,881.988365943945,2425.46800634585,3086.95928080381,661.491274457959,1984.47382337388,1543.4796404019,2204.97091485986,881.988365943945,440.994182971973,7937.89529349551,9701.87202538339,10363.3632998414,6614.91274457959,18962.7498677948,27562.1364357483,21829.2120571126,26680.1480698043,36161.5230037017,18962.7498677948,20947.2236911687,1102.48545742993,881.988365943945,7055.90692755156,6173.91856160762
Zygnema,0,0,440.994182971973,220.497091485986,881.988365943945,0,881.988365943945,220.497091485986,0,0,220.497091485986,0,0,0,220.497091485986,0,0,220.497091485986,0,0,220.497091485986,0,0,0,220.497091485986,0,0,0,0,0,0,0
Spirogyra,3307.45637228979,1102.48545742993,3968.94764674775,3307.45637228979,1984.47382337388,5953.42147012163,1984.47382337388,440.994182971973,1322.98254891592,661.491274457959,1322.98254891592,0,881.988365943945,440.994182971973,440.994182971973,0,0,1322.98254891592,220.497091485986,1102.48545742993,2204.97091485986,2425.46800634585,1984.47382337388,2645.96509783184,1984.47382337388,5953.42147012163,2866.46218931782,4189.44473823374,0,0,881.988365943945,1322.98254891592
Mougeotia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,0,0,0,0,0,0,0
Pediastrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,0,0
Glomus,661.491274457959,881.988365943945,440.994182971973,661.491274457959,2645.96509783184,2645.96509783184,881.988365943945,0,0,0,0,0,440.994182971973,0,0,220.497091485986,0,661.491274457959,0,0,661.491274457959,0,440.994182971973,881.988365943945,440.994182971973,661.491274457959,0,220.497091485986,0,0,0,0
Pseudoshizaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,0,0
Sporormiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.497091485986,220.497091485986,0,0,0,0,0,0,0,0,0,0,0
Coniochaeta,0,0,220.497091485986,0,220.497091485986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetomium,0,0,0,440.994182971973,0,0,0,0,0,220.497091485986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
