Well Name,Depth,TC,TIC,TOC,TN,TS,d13C,d18O,EM1,EM2,EM3,EM4,EM5
Well 1,206,0.315,0.16,0.155,0.0218,0.00739,-6.11196740872855,-2.34973355513075,0.406481620406021,0.461263897838346,0.019632243265909,0.017988752031789,0.094633486457936
Well 1,210,0.508,0.41,0.098,0.0349,0.0052,-7.47353069687289,-3.04869545426482,0.374380130312733,0.223506961021234,0,0.161314448874628,0.240798459791405
Well 1,214,0.358,0.29,0.068,0.0247,0.00639,-6.57084762667846,-2.90769800847306,0.497858015929179,0.405118106718643,0.019326303019682,0.077697574332497,0
Well 1,218,0.425,0.35,0.075,0.0248,0.00722,-6.1555099871984,-2.26334300988037,0.376734943905069,0.000230437375598,0.003370163632082,0.027908128991513,0.591756326095739
Well 1,222,0.246,0.18,0.066,0.0227,0.00185,-6.89907736255925,-2.55134722320724,0.168194311213135,0,0,0.16209288383982,0.669712804947045
Well 1,226,0.599,0.48,0.119,0.0294,0.00351,-6.06416965733562,-1.88380801134743,0.249041234466636,0,0.041116034620482,0.209844364480208,0.499998366432674
Well 1,230,0.818,0.71,0.108,0.0244,0.00653,-8.67795460124323,-3.45194485316931,0.215650038706656,0,0.2003775557088,0.207645213060232,0.376327192524313
Well 1,234,0.316,0.41,-0.094,0.0221,0.00371,-9.53567677897891,-3.92590359825889,0,0,0.109307862435615,0.410286824310432,0.480405313253953
Well 1,238,0.0138,0.02,-0.0062,0.0239,0.00577,-9.38870303394971,-5.43057644720961,0,0,0.25467936514971,0.403223513716585,0.342097121133706
Well 1,242,0.0617,-0.01,0.0617,0.0313,0.0131,-9.81231681653598,-8.61849671559189,0,0,0.136655166839283,0.591473986852393,0.271870846308324
Well 1,246,0.104,-0.04,0.104,0.0205,0.014,-8.7652034335107,-5.60472543694214,0,0,0.156331431086952,0.843668568913048,0
Well 1,250,-0.00501,0.09,-0.09501,0.0204,0.775,-10.2805053576826,-7.4285919902176,0.566312606218291,0.292754325767398,0,0,0.140933068014311
Well 1,254,0.00241,-0.05,0.00241,0.0289,0.00882,-10.6505086779902,-5.76188631674823,0.409504526493409,0.044796292287862,0,0.100504200022687,0.445194981196042
Well 1,258,0.079,0.06,0.019,0.0233,0.167,-9.31285146921185,-4.41990667280148,0.846833689554967,0.153166310445033,0,0,0
Well 1,262,0.2,0.29,-0.09,0.0238,0.0104,-9.61149915727797,-4.39028675529566,1,0,0,0,0
