id_sample,id_cm,depth,min,max,median,mean,clay,silt_fine,silt_coarse,sand,TC,TIC,TOC,TN,TS,d13C,d18O,EM1,EM2,EM3,EM4,EM5,EM1sd,EM2sd,EM3sd,EM4sd,EM5sd
TAGUA TAGUA 78,78-79 cm,78,8158,8910,8476,8491,6.009597,27.776787,31.819599,34.394014,5.28,4.67,0.61,0.1,0.00774,-0.634254273480251,-0.411847319044906,0.09463112099317,0.881272949527132,0.022690972072111,0.001404957407588,0,0.05940234031776,0.136936592223337,0.115768668186289,0.095659388611053,0.049658648737212
TAGUA TAGUA 82,82-83 cm,82,8269,9064,8641,8648,3.290447,15.046447,19.617357,62.045746,5.25,4.71,0.54,0.086,0.00365,-1.43159440383484,0.992067358212208,0,0.092321903141911,0,0.907678096858089,0,0,0.078413796731991,0.15468117559487,0.252144321338913,0.209761163644775
TAGUA TAGUA 86,86-87 cm,86,8401,9214,8807,8808,3.854274,18.526499,30.253279,47.365951,4.68,4.38,0.3,0.0686,0.00607,-1.2759753250402,0.116678374719681,0,0.413229386270227,0,0.586770613729773,0,0.00744634913357,0.137559605008652,0.187301575987148,0.222104877574856,0.15421341400417
TAGUA TAGUA 90,90-91 cm,90,8553,9346,8973,8968,2.794978,15.512144,20.718008,60.974872,3.77,3.53,0.24,0.0677,0.00849,-1.77800481183136,-0.2427654728948,0,0.343733952475344,0.656266047524656,0,0,0.004340054373603,0.199283436995904,0.248983936548625,0.164706769380312,0.029544307538776
TAGUA TAGUA 94,94-95 cm,94,8713,9483,9140,9127,2.454036,15.477717,17.233222,64.83772,4.01,3.74,0.27,0.0621,0.00942,-1.60622060514012,0.17636918718633,0,0,1,0,0,0.004998829312948,0.215073344572395,0.301280948619221,0.222888588025065,0.018064929627331
TAGUA TAGUA 98,98-99 cm,98,8890,9598,9305,9286,4.70837,28.899914,52.528435,13.863282,3.25,3,0.25,0.0561,0.00954,-2.97172650804271,-0.457719468130852,0,1,0,0,0,0.075219591449106,0.212808893742596,0.122024135334957,0.085261977492336,0.025391228778317
TAGUA TAGUA 102,102-103 cm,102,9191,9691,9457,9451,2.566671,16.389711,24.071072,56.972543,3.2,2.8,0.4,0.0619,0.013,-2.6350642288566,-0.834864734963448,0,0.250031624226451,0.749968375773549,0,0,0.013282050754563,0.227165715268341,0.279181376203034,0.180740417355909,0.01216155943449
TAGUA TAGUA 106,106-107 cm,106,9477,9836,9593,9606,3.571761,19.726418,40.595083,36.10674,2.5,2.01,0.49,0.069,0.00838,-2.92169203433987,-0.311580520045542,0,0.622327426739886,0,0,0.377672573260114,0.000684139250195,0.141010828010033,0.115071636501966,0.090779343751761,0.140070708012447
TAGUA TAGUA 110,110-111 cm,110,9569,10000,9736,9747,3.84599,20.25919,44.307754,31.587067,3.03,2.49,0.54,0.0753,0.0132,-2.06280371740027,-0.612580935917265,0,0.913538884406441,0,0,0.08646111559356,0.005425832771234,0.174428295663978,0.123505312646785,0.125386525959681,0.106311108980777
TAGUA TAGUA 114,114-115 cm,114,9636,10221,9862,9878,2.664442,15.343491,26.075679,55.916386,3.17,2.75,0.42,0.0744,0.0102,-3.80783259023087,-2.10994241392927,0,0.336202198000902,0.663797801999098,0,0,0.000505569364685,0.159941466967368,0.203180697852708,0.154757479202076,0.063955103473196
TAGUA TAGUA 118,118-119 cm,118,9703,10398,9994,10009,3.428143,19.239547,35.858824,41.473485,3.42,3.09,0.33,0.0672,0.012,-3.5078151787613,-1.38800988311218,0,0.578890007096596,0.170215539906517,0.250894452996887,0,0.014635775537795,0.17511885430745,0.152198032990537,0.148133802808927,0.088816632357971
TAGUA TAGUA 122,122-123 cm,122,9811,10530,10139,10147,2.39019,14.135796,22.398555,61.075456,3.47,3.08,0.39,0.067,0.00566,-2.96269129504156,-0.334858046673164,0,0.024932310050951,0.566918605764381,0.300803051393509,0.107346032791159,0,0.131672464145758,0.158065536802489,0.134536361335,0.097834527162991
TAGUA TAGUA 126,126-127 cm,126,9918,10661,10279,10284,6.035125,37.326471,49.212588,7.425815,4.08,3.82,0.26,0.0657,0.0027,-1.88369504222977,-0.147242145998185,0.026299331153164,0.973700668846836,0,0,0,0.16415037252421,0.237471075587652,0.10063080370919,0.044225338339378,0.033773453300527
TAGUA TAGUA 130,130-131 cm,130,10041,10790,10418,10420,2.896531,18.780479,33.719238,44.603752,3.99,3.52,0.47,0.106,0.022,-3.37804940796714,-2.10223440125611,0,0.621453518716752,0,0,0.378546481283248,0,0.146009469385566,0.130571369079835,0.102717698787708,0.143270020802198
TAGUA TAGUA 134,134-135 cm,134,10165,10909,10558,10555,2.983985,25.219748,37.170816,34.62545,3.46,3.21,0.25,0.0647,-0.000263,-3.28717031430206,-2.85348118831468,0,1,0,0,0,0.026573942864577,0.176485481711223,0.135979314629702,0.106591780837778,0.039902354352858
TAGUA TAGUA 138,138-139 cm,138,10291,11016,10704,10691,2.552219,22.956915,34.681875,39.808991,2.93,2.59,0.34,0.069,0.00275,-4.20755872980775,-3.76108359736642,0,0.803721828133495,0,0,0.196278171866505,0.005149420030491,0.148445319753336,0.115162910547851,0.100833547552386,0.112395484716244
TAGUA TAGUA 142,142-143 cm,142,10466,11086,10836,10820,2.16449,21.464909,32.343448,44.027148,1.45,1.18,0.27,0.0828,0.00281,-4.47280176980885,-3.6999798376157,0,0.662489193104361,0,0,0.337510806895639,0.000389691105865,0.138852557275009,0.121410019224653,0.095447287869305,0.133633719599753
TAGUA TAGUA 146,146-147 cm,146,10656,11151,10967,10951,3.332146,27.873543,38.773639,30.020672,2.65,2.27,0.38,0.102,0.00606,-5.29633991568921,-5.40435202199307,0,0.957141160390223,0,0,0.042858839609777,0.032996121950549,0.170990731677758,0.109501997363287,0.089285634375629,0.095695519360882
TAGUA TAGUA 150,150-151 cm,150,10904,11260,11158,11146,8.566013,26.245664,36.396241,28.792083,6.68,6.51,0.17,0.0631,0.00236,0.41636250053942,-1.06935046139345,0.09851296029777,0.90148703970223,0,0,0,0.070741812917402,0.160695394089404,0.12986618002108,0.080074171892608,0.016971919510472
TAGUA TAGUA 154,154-155 cm,154,11160,11840,11442,11455,8.176405,20.545792,36.605355,34.672446,5.62,5.49,0.13,0.056,0.00257,1.01866731748532,-0.293136138980984,0.020218351090609,0.95568217962507,0.024099469284322,0,0,0.062394943613768,0.195635635931401,0.166740553168381,0.100512797705712,0.026308745044547
TAGUA TAGUA 158,158-159 cm,158,11332,12412,11945,11917,8.561924,21.208848,29.942082,40.287145,3.66,3.58,0.08,0.0445,0.00259,0.072218806510153,-0.553197622445254,0.087399936848939,0.731952446670073,0.180647616480988,0,0,0.057903196029003,0.183012569163468,0.157584837513349,0.1022640290275,0.029633745529807
TAGUA TAGUA 162,162-163 cm,162,11930,12531,12249,12285,9.633731,22.603515,29.308876,38.453877,2.03,2.04,-0.01,0.0371,0.00666,-2.2370499975219,-1.13636519253136,0.152503378873564,0.67083755273757,0.176659068388866,0,0,0.062476717885351,0.161046873346417,0.143692557036029,0.091504904525389,0.027267580320523
TAGUA TAGUA 166,166-167 cm,166,12104,12668,12472,12459,11.003993,25.21663,27.942952,35.836421,1.12,1.07,0.05,0.036,0.00691,-4.90732026908949,-1.27112966000826,0.254117939326741,0.5787587508959,0.157170958900376,0.009952350876983,0,0.072821093554263,0.123168353173768,0.117560619859239,0.075785989684965,0.026871293658109
TAGUA TAGUA 170,170-171 cm,170,12199,12739,12583,12551,9.111077,21.045456,22.919236,46.924231,0.516,0.46,0.056,0.0296,0.0104,-5.31163783986785,-2.36752186182948,0.046390826345593,0.142349694114476,0.020637356553548,0.016404970193528,0.774217152792856,0.025462452714688,0.107081628214305,0.181959186492463,0.046875402027905,0.183213175649854
TAGUA TAGUA 174,174-175 cm,174,12262,12872,12650,12624,9.179398,20.554834,23.943369,46.322403,0.362,0.19,0.172,0.0357,0.0101,-6.96994945036329,-2.56814781664207,0.086191510325237,0.289510512426567,0.158806031370322,0.113170239693226,0.352321706184648,0.036155575585647,0.087072501435171,0.110276301230309,0.070772659488355,0.103682566640601
TAGUA TAGUA 178,178-179 cm,178,12341,12997,12711,12698,8.969206,20.203707,20.131287,50.6958,0.273,0.19,0.083,0.031,0.0157,-6.42852024381835,-3.20599764191858,0.061487715573177,0.138948468962044,0.149645400662357,0.129973403540628,0.519945011261794,0.029706218974347,0.091547694700864,0.125597579501758,0.065051060697154,0.11512658333733
TAGUA TAGUA 182,182-183 cm,182,12440,13109,12777,12774,10.633638,23.859644,23.141306,42.365408,0.249,0.24,0.009,0.0314,0.0182,-6.84408539064208,-5.09581717266358,0.134336334388541,0.20053745020079,0.078438157533301,0,0.586688057877368,0.037200060806975,0.090247433221062,0.141163674431021,0.029362484495822,0.156893526993134
TAGUA TAGUA 186,186-187 cm,186,12547,13231,12844,12851,13.768235,29.650173,27.944612,28.636981,0.335,0.37,-0.035,0.0353,0.00558,-6.63582104549278,-1.88729247797123,0.401256818329707,0.534940662319477,0.063802519350816,0,0,0.097009942191353,0.102383858949074,0.097237992610066,0.048937668600725,0.028227844453205
TAGUA TAGUA 190,190-191 cm,190,12656,13340,12909,12928,12.277651,28.371467,22.027314,37.323573,0.426,0.31,0.116,0.0271,0.00466,-7.16533409839112,-2.85133120122866,0.364868394095591,0.347551312563398,0.189144704909751,0.098435588431261,0,0.07926050672471,0.09516050027451,0.093630230535931,0.069157236425593,0.03582811927585
TAGUA TAGUA 194,194-195 cm,194,12757,13485,12973,13003,12.587431,28.184712,23.687062,35.540795,0.467,0.31,0.157,0.0299,0.00383,-6.66620616005156,-2.28131767322714,0.363754993483431,0.422751535236765,0.180231638803644,0.033261832476159,0,0.083396220752982,0.091368577187096,0.090396024727937,0.064110431863126,0.048231734458402
TAGUA TAGUA 198,198-199 cm,198,12870,13617,13037,13079,11.634438,28.206239,22.231365,37.927961,0.303,0.18,0.123,0.0275,0.00324,-7.31388857279053,-2.56630786724343,0.339420806562925,0.378792038062886,0.15147848079785,0.13030867457634,0,0.07974935470509,0.097416891302288,0.095231784263167,0.071790339021593,0.043426533986289
TAGUA TAGUA 202,202-203 cm,202,13019,13948,13223,13285,13.425284,30.055972,25.865862,30.652882,0.296,0.22,0.076,0.027,0.00318,-7.61496275605459,-2.47479652768398,0.404222347658128,0.487682046273252,0.10809560606862,0,0,0.096391595465879,0.094333124761275,0.094746479016611,0.050902119076933,0.022503524521999
TAGUA TAGUA 206,206-207 cm,206,13153,14424,13545,13606,12.680049,30.898232,25.252247,31.169474,0.315,0.16,0.155,0.0218,0.00739,-6.11196740872855,-2.34973355513075,0.406481620406021,0.461263897838346,0.019632243265909,0.017988752031789,0.094633486457936,0.091828541507382,0.095478204714378,0.086219636807631,0.067083822596525,0.069626548921842
TAGUA TAGUA 210,210-211 cm,210,13316,15020,13904,13972,12.631729,31.213522,21.533128,34.621621,0.508,0.41,0.098,0.0349,0.0052,-7.47353069687289,-3.04869545426482,0.374380130312733,0.223506961021234,0,0.161314448874628,0.240798459791405,0.06277774260676,0.058232031265262,0.070415888556945,0.06329769143418,0.063132395559148
TAGUA TAGUA 214,214-215 cm,214,13507,15550,14277,14340,13.203399,33.956305,23.872329,28.967968,0.358,0.29,0.068,0.0247,0.00639,-6.57084762667846,-2.90769800847306,0.497858015929179,0.405118106718643,0.019326303019682,0.077697574332497,0,0.096512252845696,0.079804868565166,0.065424596601394,0.053880793979602,0.046964081996854
TAGUA TAGUA 218,218-219 cm,218,13694,16049,14638,14700,14.438368,31.200506,15.963411,38.397719,0.425,0.35,0.075,0.0248,0.00722,-6.1555099871984,-2.26334300988037,0.376734943905069,0.000230437375598,0.003370163632082,0.027908128991513,0.591756326095739,0.033004157167488,0.077065249905792,0.125776285833104,0.0401225748677,0.135688698453984
TAGUA TAGUA 222,222-223 cm,222,13938,16474,14995,15055,11.45411,24.479973,14.935636,49.13028,0.246,0.18,0.066,0.0227,0.00185,-6.89907736255925,-2.55134722320724,0.168194311213135,0,0,0.16209288383982,0.669712804947045,0.029331651267048,0.089950120065718,0.153364452379176,0.074357172453404,0.131317154933307
TAGUA TAGUA 226,226-227 cm,226,14371,16974,15534,15570,12.090773,26.872279,13.784622,47.252325,0.599,0.48,0.119,0.0294,0.00351,-6.06416965733562,-1.88380801134743,0.249041234466636,0,0.041116034620482,0.209844364480208,0.499998366432674,0.031916003997104,0.07038506997706,0.121520858915941,0.085075386131299,0.095100094348812
TAGUA TAGUA 230,230-231 cm,230,14841,17627,16099,16126,11.345566,24.07724,13.74134,50.835855,0.818,0.71,0.108,0.0244,0.00653,-8.67795460124323,-3.45194485316931,0.215650038706656,0,0.2003775557088,0.207645213060232,0.376327192524313,0.039676255345926,0.084319597018925,0.106804852897865,0.081418322597013,0.094841957606267
TAGUA TAGUA 234,234-235 cm,234,15301,18153,16667,16680,6.062114,19.920073,12.840456,61.177355,0.316,0.41,-0.094,0.0221,0.00371,-9.53567677897891,-3.92590359825889,0,0,0.109307862435615,0.410286824310432,0.480405313253953,0.014150047883193,0.078985345899197,0.140417150260279,0.128365375497869,0.10944122611673
TAGUA TAGUA 238,238-239 cm,238,15747,18691,17272,17258,5.087827,18.409727,12.436156,64.066289,0.0138,0.02,-0.0062,0.0239,0.00577,-9.38870303394971,-5.43057644720961,0,0,0.25467936514971,0.403223513716585,0.342097121133706,0.004791894050279,0.088616181057055,0.145128023109626,0.123713553940609,0.115014766064571
TAGUA TAGUA 242,242-243 cm,242,16418,19032,17870,17834,3.79201,10.737896,9.507709,75.962385,0.0617,-0.01,0.0617,0.0313,0.0131,-9.81231681653598,-8.61849671559189,0,0,0.136655166839283,0.591473986852393,0.271870846308324,0,0.066674774190106,0.182570546688421,0.187704528133109,0.15716163842021
TAGUA TAGUA 246,246-247 cm,246,17099,19383,18439,18385,3.304748,9.538192,9.533057,77.624002,0.104,-0.04,0.104,0.0205,0.014,-8.7652034335107,-5.60472543694214,0,0,0.156331431086952,0.843668568913048,0,0,0.043065177328999,0.16713873572124,0.224952176751663,0.189862164630089
TAGUA TAGUA 250,250-251 cm,250,17921,19672,18976,18933,16.041105,38.965326,25.213337,19.780231,-0.00501,0.09,-0.09501,0.0204,0.775,-10.2805053576826,-7.4285919902176,0.566312606218291,0.292754325767398,0,0,0.140933068014311,0.088637442142429,0.088615669454901,0.045598556494897,0.015222726278827,0.078266620089268
TAGUA TAGUA 254,254-255 cm,254,18479,19956,19486,19398,13.497273,33.995195,15.900966,36.606564,0.00241,-0.05,0.00241,0.0289,0.00882,-10.6505086779902,-5.76188631674823,0.409504526493409,0.044796292287862,0,0.100504200022687,0.445194981196042,0.041099938081568,0.056476558488461,0.089056715521539,0.05789557512924,0.092552384046399
TAGUA TAGUA 258,258-259 cm,258,18870,20076,19656,19601,18.135785,60.493683,19.333958,2.036576,0.079,0.06,0.019,0.0233,0.167,-9.31285146921185,-4.41990667280148,0.846833689554967,0.153166310445033,0,0,0,0.139491564987583,0.13975661236211,0.005671235959757,0.001447221600138,2.72210523456338E-06
TAGUA TAGUA 262,262-263 cm,262,19306,20173,19807,19785,21.931127,59.62036,14.435385,4.013131,0.2,0.29,-0.09,0.0238,0.0104,-9.61149915727797,-4.39028675529566,1,0,0,0,0,0.063239453871931,0.063247717289157,0.000439713676076,0,0
TAGUA TAGUA 266,266-267 cm,266,19620,20309,19975,19970,25.279352,50.423529,12.134917,12.162201,0.238,0.29,-0.052,0.0263,0.156,-11.4885493391023,-4.87755140542383,1,0,0,0,0,0.014366471478582,0.013312786306761,0.005171770916177,0.002209118007693,0.0014497050596
